,전통주이름,상품명,가격
570,제주몬순커피주,"제주를 마셔요, 서남권 카페 여행","￦18,000 (가격은 판매처 별로 상이할 수 있습니다)"
571,제주술익는집 고소리술,제주 지역 술,"￦18,000 (가격은 판매처 별로 상이할 수 있습니다)"
572,젤코바 스페셜와인,젤코바 스페셜와인,"375ml ￦17,000, 
                                        500ml ￦25,000, 
                                        750ml ￦36,000 (가격은 판매처 별로 상이할 수 있습니다)"
573,젤코바 캠벨와인,젤코바 캠벨와인,"￦62,500 (가격은 판매처 별로 상이할 수 있습니다)"
574,젤코바 프리미엄 와인,젤코바 프리미엄와인,"500ml ￦33,000, 
                                        750ml ￦50,000 (가격은 판매처 별로 상이할 수 있습니다)"
575,조선주조사,조선주조사,"300ml ￦4,000, 
                                        700ml ￦9,000 (가격은 판매처 별로 상이할 수 있습니다)"
576,주교주,,
577,주몽복분자주,주몽 복분자주,"￦5,000(가격은 판매처 별로 상이할 수 있습니다.)"
578,주산지 막걸리,주산지 막걸리,"￦1,200 (가격은 판매처 별로 상이할 수 있습니다)"
579,주향담을,회연서원,"￦1,200 (가격은 판매처 별로 상이할 수 있습니다)"
580,주향아라,네이멍구자치구,"￦1,200 (가격은 판매처 별로 상이할 수 있습니다)"
581,주홍춘,,
582,죽력고,죽력고,"￦60,000(가격은 판매처 별로 상이할 수 있습니다.)"
583,죽향 생 막걸리,죽향 생막걸리,"￦2,000 (가격은 판매처 별로 상이할 수 있습니다)"
584,죽향41,옥천군,"￦2,000 (가격은 판매처 별로 상이할 수 있습니다)"
585,줄포 생막걸리,줄포 생 막걸리,"￦1,200(가격은 판매처 별로 상이할 수 있습니다.)"
586,지란지교,지란지교,"￦1,200(가격은 판매처 별로 상이할 수 있습니다.)"
587,지란지교 무화과 탁주,술의 부재료,"￦1,200(가격은 판매처 별로 상이할 수 있습니다.)"
588,지란지교 약주,,
589,지리산 강쇠,강쇠,"￦2,500(가격은 판매처 별로 상이할 수 있습니다.)"
590,지리산 정담 생쌀 막걸리,지리산 정담 생쌀 막걸리,"￦1,500(가격은 판매처 별로 상이할 수 있습니다.)"
591,지리산 허브잎술 쌀 막걸리,지리산 허브잎 술,"￦1,500(가격은 판매처 별로 상이할 수 있습니다.)"
592,지장수 호박 생 막걸리,지장수 호박 생 막걸리,"￦1,400 (가격은 판매처 별로 상이할 수 있습니다.)"
593,지장수 호박막걸리,지장수 호박 막걸리,"￦5,000 (가격은 판매처 별로 상이할 수 있습니다.)"
594,지평 생 쌀막걸리,지평 생 쌀막걸리 (700ml),"￦1,650 (가격은 판매처 별로 상이할 수 있습니다.)"
595,지평 생 옛막걸리,지평 생 옛막걸리,"￦2,500 (가격은 판매처 별로 상이할 수 있습니다.)"
596,지평 이랑이랑,,
597,진도홍주 루비콘,진도홍주 루비콘,"￦10,000(가격은 판매처 별로 상이할 수 있습니다.)"
598,"진도홍주 아라리35%, 루비콘40%",진도홍주 루비콘,"￦10,000(가격은 판매처 별로 상이할 수 있습니다.)"
599,"진도홍주, 만홍",진도 홍주,"￦10,000(가격은 판매처 별로 상이할 수 있습니다.)"
600,진맥 소주,진맥소주,"￦10,000(가격은 판매처 별로 상이할 수 있습니다.)"
601,진맥소주 22%,진맥소주 22%,"￦22,000 (가격은 판매처 별로 상이할 수 있습니다)"
602,"진심홍삼인삼주 38%, 19%",진심 홍삼 인삼주,"￦22,000 (가격은 판매처 별로 상이할 수 있습니다)"
603,진쾌남,진쾌남,"￦8,500(가격은 판매처 별로 상이할 수 있습니다.)"
604,징기스칸,칭기즈칸,"￦8,500(가격은 판매처 별로 상이할 수 있습니다.)"
605,참동이 허브잎술,참동이 허브잎 술,"￦8,500(가격은 판매처 별로 상이할 수 있습니다.)"
606,찹쌀 생막걸리 12도,해창 생 막걸리 12도,"￦10,000 (가격은 판매처 별로 상이할 수 있습니다.)"
607,찹쌀생막걸리 9도,해창 생막걸리 9도,"￦6,000 (가격은 판매처 별로 상이할 수 있습니다.)"
608,천마이야기 막걸리,천마 이야기 막걸리,"￦1,500(가격은 판매처 별로 상이할 수 있습니다.)"
609,천매,천매,"￦130,000(가격은 판매처 별로 상이할 수 있습니다.)"
610,천비향 오양주 약주,천비향 오양주 약주,"￦40,000(가격은 판매처 별로 상이할 수 있습니다.)"
611,천비향 오양주 탁주,천비향 오양주 탁주,"￦18,000(가격은 판매처 별로 상이할 수 있습니다.)"
612,천비향 화주,천비향 화주,"￦50,000(가격은 판매처 별로 상이할 수 있습니다.)"
613,천안연미주,천안 연미주,"￦5,000(가격은 판매처 별로 상이할 수 있습니다.)"
614,천지향 증류주,,
615,청명주,청명주 500,"￦23,000(가격은 판매처 별로 상이할 수 있습니다.)"
616,청명주 750,청명주 750,"￦36,000(가격은 판매처 별로 상이할 수 있습니다.)"
617,청세주,청세주,"￦4,000 (가격은 판매처 별로 상이할 수 있습니다.)"
618,청양둔송구기주,청양 둔송 구기주,"￦23,000(700ml*2병)(가격은 판매처 별로 상이할 수 있습니다.)"
619,청주신선주탁주,청주 신선주,"￦23,000(700ml*2병)(가격은 판매처 별로 상이할 수 있습니다.)"
620,청진주,청진주,"￦30,000(가격은 판매처 별로 상이할 수 있습니다.)"
621,초련 주정강화 와인,주정강화 와인의 제작,"￦30,000(가격은 판매처 별로 상이할 수 있습니다.)"
622,초선의 꿈,초선의 꿈 (로제),"￦20,000 (가격은 판매처 별로 상이할 수 있습니다.)"
623,추사 로제,추사 로제,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)"
624,추사 블루베리 와인,추사블루,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)"
625,추사 애플와인,추사 애플와인,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)"
626,추사40,추사40,"￦60,000(가격은 판매처 별로 상이할 수 있습니다.)"
627,추사47,노고산 독재동 추사 필적 암각문,"￦60,000(가격은 판매처 별로 상이할 수 있습니다.)"
628,추사백25,,
629,추사백40 사과 증류식 소주,황금보리소주40,"￦78,500(375ml*5병)(가격은 판매처 별로 상이할 수 있습니다)"
630,추성주,추성주,"￦78,500(375ml*5병)(가격은 판매처 별로 상이할 수 있습니다)"
631,커피냑,,
632,커피와인 톡시,와인 아로마 - 커피,"￦78,500(375ml*5병)(가격은 판매처 별로 상이할 수 있습니다)"
633,"코이버펑크, 머스캣 베일리 에이 2017","코이버펑크, 머스캣 베일리 에이 2017 ",가격정보없음 (판매처별로 가격이 다를 수 있습니다.)
634,"코이버펑크, 샤르도네 세미용 2018","코이버펑크, 샤르도네 세미용 2018 ",가격정보없음 (판매처별로 가격이 다를 수 있습니다.)
635,"코이버펑크, 카베르네 소비뇽 2019",컬트 카베르네 소비뇽 2019,가격정보없음 (판매처별로 가격이 다를 수 있습니다.)
636,쿨샷 7.5,쿨샷7.5,"￦60,000(300ml*20병)(가격은 판매처 별로 상이할 수 있습니다.)"
637,키위술,,
638,타락40,40주년,"￦60,000(300ml*20병)(가격은 판매처 별로 상이할 수 있습니다.)"
639,타미앙스,타미앙스,"￦50,000 (가격은 판매처 별로 상이할 수 있습니다.)"
640,토끼 소주,"환경과 경제, 두 마리 토끼를 잡는 ‘빈용기보증금제도’ ","￦50,000 (가격은 판매처 별로 상이할 수 있습니다.)"
641,토끼구름,,
642,톡 한잔 소주,톡 한잔 소주,"￦10,000(가격은 판매처 별로 상이할 수 있습니다.)"
643,톡쏘는 고구마동동,톡 쏘는 알밤동동,"￦1,300 (가격은 판매처 별로 상이할 수 있습니다.)"
644,톡쏘는 쌀 막걸리,톡쏘는 쌀막걸리,"￦1,300 (가격은 판매처 별로 상이할 수 있습니다.)"
645,톡쏘는 알밤동동,톡 쏘는 알밤동동,"￦1,300 (가격은 판매처 별로 상이할 수 있습니다.)"
646,톡쏘는 옥수수동동,톡 쏘는 알밤동동,"￦1,300 (가격은 판매처 별로 상이할 수 있습니다.)"
647,티나(TINA),티나(TINA),"￦54,000 (가격은 판매처 별로 상이할 수 있습니다)"
648,팔공산미나리 생막걸리,성포 생막걸리,"￦1,100 (가격은 판매처 별로 상이할 수 있습니다)"
649,팔팔막걸리,기주떡,"￦1,100 (가격은 판매처 별로 상이할 수 있습니다)"
650,편백숲 산소막걸리,편백숲 산소막걸리,"￦1,900 (가격은 판매처 별로 상이할 수 있습니다)"
651,편백숲 산소막걸리 딸기 스파클링,편백숲 산소막걸리 딸기스파클링,"￦41,000 (가격은 판매처 별로 상이할 수 있습니다)"
652,편백숲 산소막걸리 순수령,편백숲 산소막걸리 순수령,"￦4,000 (가격은 판매처 별로 상이할 수 있습니다)"
653,편백숲 산소막걸리 순수령 8%,편백숲 산소막걸리 순수령,"￦4,000 (가격은 판매처 별로 상이할 수 있습니다)"
654,편백숲 산소막걸리 스파클링,편백숲 산소막걸리 딸기스파클링,"￦41,000 (가격은 판매처 별로 상이할 수 있습니다)"
655,포엠 로제와인,포엠 화이트와인,"￦35,000 (가격은 판매처 별로 상이할 수 있습니다)"
656,포엠 화이트와인,포엠 화이트와인,"￦35,000 (가격은 판매처 별로 상이할 수 있습니다)"
657,포항불로주,청송 불로주,"￦35,000 (가격은 판매처 별로 상이할 수 있습니다)"
658,풍정사계 동(冬),풍정사계 동(冬),"￦25,000(25%), 
                                        ￦35,000(42%)(가격은 판매처 별로 상이할 수 있습니다.)"
659,풍정사계 추(秋),풍정사계 추(秋),"￦15,000(가격은 판매처 별로 상이할 수 있습니다.)"
660,풍정사계 춘(春),풍정사계 춘(春),"￦30,000(가격은 판매처 별로 상이할 수 있습니다.)"
661,프리미엄 애플와인 한스오차드,한스오차드 사과와인,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)"
662,필,필,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)"
663,필,필,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)"
664,하얀까마귀,하얀 까마귀,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)"
665,하얀연꽃 백련막걸리,생 하얀연꽃 백련 막걸리,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)"
666,하얀연꽃 백련맑은 술,백련 맑은술,"￦7,000 (가격은 판매처 별로 상이할 수 있습니다.)"
667,하얀연꽃 백련생막걸리,생 하얀연꽃 백련 막걸리,"￦7,000 (가격은 판매처 별로 상이할 수 있습니다.)"
668,하향주,하향주(양주방 외),"￦7,000 (가격은 판매처 별로 상이할 수 있습니다.)"
669,한강의설레임,,
670,한비 동충하초술,한비 동충하초술,"￦30,000(375ml), ￦50,000(750ml)(가격은 판매처 별로 상이할 수 있습니다.)"
671,한비 무병장수술,한비 무병장수술,"￦30,000(375ml), ￦50,000(750ml)(가격은 판매처 별로 상이할 수 있습니다.)"
672,한비 쌀소주,한비 쌀소주,"￦30,000(375ml), ￦40,000(750ml)(가격은 판매처 별로 상이할 수 있습니다.)"
673,한비 오가피술,한비 오가피술,"￦30,000(375ml), ￦50,000(750ml)(가격은 판매처 별로 상이할 수 있습니다.)"
674,한비 유자술,,
675,한비오가피술골드,한비 오가피술,"￦30,000(375ml), ￦50,000(750ml)(가격은 판매처 별로 상이할 수 있습니다.)"
676,한산 소곡화주,예담은 한산소곡화주,"￦30,000(가격은 판매처 별로 상이할 수 있습니다.)"
677,한산소곡주,한산소곡주 360ml,"￦6,500 (가격은 판매처 별로 상이할 수 있습니다.)"
678,한산예담은 한산소곡화주,예담은 한산소곡화주,"￦30,000(가격은 판매처 별로 상이할 수 있습니다.)"
679,한스오차드 사과와인,한스오차드 사과와인,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)"
680,한주,한주,"￦12,000(가격은 판매처 별로 상이할 수 있습니다.)"
681,해남진양주,해남 진양주,"￦12,000(가격은 판매처 별로 상이할 수 있습니다.)"
682,해방주,해방주 38%,"￦45,000(800ml38%)(가격은 판매처 별로 상이할 수 있습니다)"
683,해창 막걸리 9도,해창 생막걸리 9도,"￦6,000 (가격은 판매처 별로 상이할 수 있습니다.)"
684,행운 생유자 동동주,생 행운 동동주,"￦6,000 (가격은 판매처 별로 상이할 수 있습니다.)"
685,허니문,허니문,"￦6,000 (가격은 판매처 별로 상이할 수 있습니다.)"
686,허니비,"강지영, 허니비","￦6,000 (가격은 판매처 별로 상이할 수 있습니다.)"
687,헤베,헤베,"￦6,000 (가격은 판매처 별로 상이할 수 있습니다.)"
688,호담 300ml,호담 300ml,"￦18,000(가격은 판매처 별로 상이할 수 있습니다.)"
689,호담 산양산삼 막걸리,호담 산양산삼 막걸리,"￦16,000(750ml*9병)(가격은 판매처 별로 상이할 수 있습니다.)"
690,호두땅콩막걸리,잣막걸리,"￦16,000(750ml*9병)(가격은 판매처 별로 상이할 수 있습니다.)"
691,호랑이 생 막걸리,호랑이 생 막걸리,"￦2,200 (가격은 판매처 별로 상이할 수 있습니다.)"
692,호랑이배꼽,"선사시대와 우주세계가 이웃하는 곳, 고흥 시호도&외나로도 ","￦2,200 (가격은 판매처 별로 상이할 수 있습니다.)"
693,호모루덴스,호모 루덴스,"￦2,200 (가격은 판매처 별로 상이할 수 있습니다.)"
694,혼,혼,"￦2,200 (가격은 판매처 별로 상이할 수 있습니다.)"
695,혼디주,혼디주,"￦8,000 (가격은 판매처 별로 상이할 수 있습니다)"
696,홍삼명주,홍삼명주 500ml,"￦16,000 (가격은 판매처 별로 상이할 수 있습니다.)"
697,홍시와인,감그린 아이스와인,"￦89,000(가격은 판매처 별로 상이할 수 있습니다.)"
698,홍천강 탁주,홍천강 탁주,"￦10,000 (가격은 판매처 별로 상이할 수 있습니다.)"
699,"화요 41%, 25%, 17%",,
700,화주,화주,"￦13,000(가격은 판매처 별로 상이할 수 있습니다.)"
701,황감찰,,
702,황도배기 햅쌀막걸리,,
703,황진이주,황진이주,"￦13,000(가격은 판매처 별로 상이할 수 있습니다.)"
704,희양산 막걸리 15도,희양산막걸리 9%,"￦8,000 (가격은 판매처 별로 상이할 수 있습니다)"
705,희양산 막걸리 9도,희양산막걸리 9%,"￦8,000 (가격은 판매처 별로 상이할 수 있습니다)"
