,전통주이름,상품명,가격
106,녹고의 눈물,녹고의 눈물,"￦23,000(가격은 판매처 별로 상이할 수 있습니다.)"
107,녹천 소곡화주 480ml,녹천 소곡화주 480ml,"￦45,000(가격은 판매처 별로 상이할 수 있습니다.)"
108,녹천 소곡화주 500ml,녹천 소곡화주 500ml,"￦22,000(가격은 판매처 별로 상이할 수 있습니다.)"
109,녹파주,녹파주,"￦35,000(가격은 판매처 별로 상이할 수 있습니다.)"
110,느낌 19.8,느낌 19.8,"￦4,000 (가격은 판매처 별로 상이할 수 있습니다)"
111,느낌 30,느낌 30,"￦6,500 (가격은 판매처 별로 상이할 수 있습니다)"
112,느린마을 막걸리,느린마을 막걸리,"￦2,300 (가격은 판매처 별로 상이할 수 있습니다.)"
113,느린마을 약주,느린마을 막걸리,"￦2,300 (가격은 판매처 별로 상이할 수 있습니다.)"
114,느린마을 증류주,느린마을양조장 청송양원,"￦2,300 (가격은 판매처 별로 상이할 수 있습니다.)"
115,느린마을소주21,진맥소주 22%,"￦22,000 (가격은 판매처 별로 상이할 수 있습니다)"
116,능이주,능이주,"￦12,000(가격은 판매처 별로 상이할 수 있습니다.)"
117,니모메,니모메,"￦36,000(375ml*3병)(가격은 판매처 별로 상이할 수 있습니다.)"
118,님 그리다,님그려 겨오든 잠에,"￦36,000(375ml*3병)(가격은 판매처 별로 상이할 수 있습니다.)"
119,다래와인 3004,다래와인 3004,"￦10,000(가격은 판매처 별로 상이할 수 있습니다.)"
120,다래와인 7004D,다래와인 7004D,"￦28,000(가격은 판매처 별로 상이할 수 있습니다.)"
121,다래와인 7004S,다래와인 7004S,"￦18,000(가격은 판매처 별로 상이할 수 있습니다.)"
122,다랭이팜 생막걸리,다랭이팜 유자 막걸리,"￦4,000 (가격은 판매처 별로 상이할 수 있습니다.)"
123,다랭이팜 유자 막걸리,다랭이팜 유자 막걸리,"￦4,000 (가격은 판매처 별로 상이할 수 있습니다.)"
124,달 1614 스위트와인,전문용어,"￦4,000 (가격은 판매처 별로 상이할 수 있습니다.)"
125,달홀진주25,향양리,"￦4,000 (가격은 판매처 별로 상이할 수 있습니다.)"
126,달홀진주40,진주의 교통,"￦4,000 (가격은 판매처 별로 상이할 수 있습니다.)"
127,담솔,담솔,"￦22,000 (가격은 판매처 별로 상이할 수 있습니다.)"
128,담양 죽력고,담양 죽력고,"￦13,000 (가격은 판매처 별로 상이할 수 있습니다)"
129,담은,담은,"￦15,000(가격은 판매처 별로 상이할 수 있습니다.)"
130,당당하리,작시견지,"￦15,000(가격은 판매처 별로 상이할 수 있습니다.)"
131,대관람차,대관람차,"￦15,000(가격은 판매처 별로 상이할 수 있습니다.)"
132,대관령 복분자주,대관령 복분자주,"￦13,000(가격은 판매처 별로 상이할 수 있습니다.)"
133,대대포 막걸리,전라 · 광주 지역 술,"￦13,000(가격은 판매처 별로 상이할 수 있습니다.)"
134,대윤 가야곡 왕주,대윤 가야곡 왕주,"￦4,000(가격은 판매처 별로 상이할 수 있습니다.)"
135,대잎술,대잎술,"￦4,000(가격은 판매처 별로 상이할 수 있습니다.)"
136,대장부23,광명 이원익 친필유묵,"￦4,000(가격은 판매처 별로 상이할 수 있습니다.)"
137,대통대잎술,대잎술,"￦4,000(가격은 판매처 별로 상이할 수 있습니다.)"
138,대통주,죽통주,"￦4,000(가격은 판매처 별로 상이할 수 있습니다.)"
139,도구막걸리,영일만친구 막걸리,"￦15,000(750ml*9병)(가격은 판매처 별로 상이할 수 있습니다)"
140,도깨비술 11,도깨비술 7%,"￦8,000 (가격은 판매처 별로 상이할 수 있습니다)"
141,도깨비술 7,도깨비술 7%,"￦8,000 (가격은 판매처 별로 상이할 수 있습니다)"
142,도깨비술 9,도깨비술 9%,"￦10,000 (가격은 판매처 별로 상이할 수 있습니다)"
143,도로시 머루주,도로시 머루주,"￦25,000 (가격은 판매처 별로 상이할 수 있습니다)"
144,도문대작 생막걸리,도문대작 생막걸리,"￦3,000(가격은 판매처 별로 상이할 수 있습니다.)"
145,도원결의,도원결의,"￦3,000(가격은 판매처 별로 상이할 수 있습니다.)"
146,독산 53,독산 53,"￦25,000 (가격은 판매처 별로 상이할 수 있습니다)"
147,동강더덕주,동강더덕주,"￦3,500(가격은 판매처 별로 상이할 수 있습니다.)"
148,동래아들,동래 정씨,"￦3,500(가격은 판매처 별로 상이할 수 있습니다.)"
149,동몽,동몽,"￦30,000 (가격은 판매처 별로 상이할 수 있습니다.)"
150,"동백꽃, 제주",,
151,동백우리쌀생막걸리,쌀 생막걸리(우리쌀 생막걸리),"￦30,000 (가격은 판매처 별로 상이할 수 있습니다.)"
152,동정춘,동정춘,"￦18,000(가격은 판매처 별로 상이할 수 있습니다.)"
153,동짓달 기나긴 밤,동짓달 기나긴 밤을,"￦18,000(가격은 판매처 별로 상이할 수 있습니다.)"
154,동학 1957,동학 1957,"375ml ￦3,500, 
                                        700ml ￦7,200 (가격은 판매처 별로 상이할 수 있습니다)"
155,동해동동주,동해 동동주,"￦15,000(750ml*9병)(가격은 판매처 별로 상이할 수 있습니다)"
156,두레앙 일반증류주,두레앙 증류주,"￦35,000(가격은 판매처 별로 상이할 수 있습니다.)"
157,두레앙22,두레앙 22,"￦5,000 (가격은 판매처 별로 상이할 수 있습니다)"
158,두레앙목통숙성주,특산물,"￦5,000 (가격은 판매처 별로 상이할 수 있습니다)"
159,두레앙와인,두레앙 와인,"￦15,000(가격은 판매처 별로 상이할 수 있습니다.)"
160,두륜탁주,,
161,두리향,두리향,"￦36,000 (가격은 판매처 별로 상이할 수 있습니다)"
162,딸링 막걸리,,
163,라이스퐁당,라이스퐁당 13,"￦15,000 (가격은 판매처 별로 상이할 수 있습니다)"
164,라이코펜 토마토와인,논공 토마토,"￦15,000 (가격은 판매처 별로 상이할 수 있습니다)"
165,레돔 내추럴 스파클링 로제와인,레돔 내추럴 스파클링 로제와인,"￦38,000 (가격은 판매처 별로 상이할 수 있습니다)"
166,레돔 시드르,레돔 시드르,"￦32,000 (가격은 판매처 별로 상이할 수 있습니다)"
167,레드 와인 500,크라테 레드와인 드라이,"￦48,000 (가격은 판매처 별로 상이할 수 있습니다)"
168,레드듀 RED DEW,Raising a Cup for a Drink ,"￦48,000 (가격은 판매처 별로 상이할 수 있습니다)"
169,려,려,"￦48,000 (가격은 판매처 별로 상이할 수 있습니다)"
170,로아19레드,"19 크라임스, 레드 블랜드 2017 ","45,000원 (판매처별로 가격이 다를 수 있습니다.)"
171,로아19옐로우,배도가 로아 40도 옐로우,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)"
172,로아19화이트,,
173,로아40 레드,배도가 로아 40도 옐로우,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)"
174,로아40 옐로우,배도가 로아 40도 옐로우,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)"
175,로아40퍼플,배도가 로아 40도 옐로우,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)"
176,로아40화이트,배도가 로아 40도 옐로우,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)"
177,로얄 안동소주,경상 · 대구 · 부산 · 울산 지역 술 ,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)"
178,로제 와인 750,포엠 로제와인,"￦35,000 (가격은 판매처 별로 상이할 수 있습니다)"
179,로제와인,로제 와인,"￦35,000 (가격은 판매처 별로 상이할 수 있습니다)"
180,루드베리,,
181,르깔롱,르깔롱,"￦35,000 (가격은 판매처 별로 상이할 수 있습니다)"
